1,-215.68,211.3
2,-84.2,183.91
3,-36.181,147.54
4,-14.775,125.23
5,-2.4369,113.46
6,7.172,109.83
7,18.022,114.48
8,36.686,131.22
9,89.372,171.09
10,344.72,137.4
11,113.36,-198.25
12,12.939,-99.52
13,-0.99071,-57.768
14,-3.9294,-37.87
15,-4.4859,-26.738
16,-4.3814,-19.829
17,-4.0848,-15.231
18,-3.7468,-12.011
19,-3.419,-9.6692
20,-3.1183,-7.9146
21,-2.8487,-6.5679
22,-2.6091,-5.5137
23,-2.3969,-4.6745
24,-2.2089,-3.9968
25,-2.0421,-3.4428
26,-1.8937,-2.9849
27,-1.7613,-2.6029
28,-1.6429,-2.2815
29,-1.5367,-2.0089
30,-1.4411,-1.7761
31,-1.3548,-1.5761
32,-1.2768,-1.4033
33,-1.2061,-1.2532
34,-1.1419,-1.1221
35,-1.0835,-1.0072
36,-1.0303,-0.90607
37,-0.98184,-0.81666
38,-0.93762,-0.73737
39,-0.89729,-0.6668
40,-0.86053,-0.60381
41,-0.82708,-0.54742
42,-0.7967,-0.4968
43,-0.76923,-0.45124
44,-0.74452,-0.41015
45,-0.72248,-0.373
46,-0.70306,-0.33934
47,-0.68626,-0.30879
48,-0.67212,-0.281
49,-0.66079,-0.25569
50,-0.65246,-0.2326
51,-0.64748,-0.2115
52,-0.64635,-0.1922
53,-0.64983,-0.17451
54,-0.65906,-0.15829
55,-0.6758,-0.1434
56,-0.70289,-0.12971
57,-0.74514,-0.11712
58,-0.81134,-0.10554
59,-0.91938,-9.49E-02
60,-1.112,-8.50E-02
61,-1.5223,-7.58E-02
62,-2.8816,-6.71E-02
63,20.914,-6.64E-02
64,1.8158,-5.38E-02
65,0.83851,-4.71E-02
66,0.49619,-4.10E-02
67,0.32499,-3.55E-02
68,0.22423,-3.05E-02
69,0.1592,-2.60E-02
70,0.1147,-2.18E-02
71,8.31E-02,-1.81E-02
72,6.00E-02,-1.47E-02
73,4.29E-02,-1.17E-02
74,3.00E-02,-9.05E-03
75,2.05E-02,-6.74E-03
76,1.33E-02,-4.77E-03
77,8.10E-03,-3.12E-03
78,4.42E-03,-1.81E-03
79,1.98E-03,-8.42E-04
80,5.67E-04,-2.14E-04
81,2.33E-05,5.71E-05
82,2.27E-04,-4.75E-05
83,1.09E-03,-5.52E-04
84,2.55E-03,-1.49E-03
85,4.56E-03,-2.90E-03
86,7.11E-03,-4.84E-03
87,1.02E-02,-7.37E-03
88,1.38E-02,-1.06E-02
89,1.80E-02,-1.46E-02
90,2.28E-02,-1.96E-02
91,2.83E-02,-2.57E-02
92,3.47E-02,-3.32E-02
93,4.21E-02,-4.25E-02
94,5.07E-02,-5.41E-02
