1,695,3203,11562,10192
2,695,11562,3976,10192
3,3203,11562,10192,11561
4,3976,10192,11562,11561
5,241,3203,11562,695
6,241,3083,11562,3203
7,695,11562,749,3976
8,241,11562,749,695
9,3976,11562,4012,11561
10,749,3976,11562,4012
11,240,11562,3083,4012
12,240,749,11562,4012
13,3083,4012,11562,11561
14,240,241,11562,749
15,240,241,3083,11562
16,3175,11561,3203,10192
17,3175,6099,11561,10192
18,3156,11561,3175,6099
19,3976,11561,6099,10192
20,3976,11561,4626,6099
21,4626,11561,10090,11544
22,4012,10090,11561,11544
23,3976,11561,4012,10090
24,3083,4012,11561,11544
25,6674,11560,6874,8627
26,6874,11560,8169,8627
27,8169,8627,11560,8629
28,6282,11560,6674,8168
29,6282,7472,11560,8168
30,5182,6282,11560,10484
31,6282,6674,11560,10484
32,6058,6874,11560,8169
33,6058,6674,11560,6874
34,8169,8629,11560,11526
35,7472,11560,8168,8629
36,6674,8168,11560,8629
37,5182,11560,6282,7472
38,5182,11560,6058,10484
39,6058,8169,11560,11526
40,5182,6058,11560,11526
41,5182,11560,7472,11526
42,7472,11560,8629,11526
43,8237,11559,10014,11194
44,6588,10014,11559,11194
45,6588,11559,8581,11194
46,8237,8581,11559,11194
47,8569,11559,8572,11523
48,8569,8572,11559,9251
49,8572,11559,9251,10014
50,5087,11559,6588,10014
51,5087,6588,11559,8581
52,5087,9251,11559,10014
53,5087,8569,11559,9251
54,8237,11559,8581,11523
55,8569,9244,11559,11523
56,6337,11559,8569,9244
57,8581,11559,9244,11523
58,6337,8581,11559,9244
59,5087,11559,6337,8581
60,5087,6337,11559,8569
61,1551,1571,11558,4194
62,1,1551,11558,11185
63,4508,6660,11558,5199
64,1,11558,4508,6660
65,1571,11558,4194,11304
66,4194,11558,9594,11304
67,1,1551,1571,11558
68,1,11558,6660,9594
69,5199,6660,11558,9594
70,1,4508,11558,2
71,2,11558,1571,6276
72,5199,9594,11558,11304
73,1,11558,1571,2
74,7076,7171,11557,8467
75,7171,8466,11557,8467
76,8349,11557,8466,8467
77,7171,8350,11557,8466
78,7076,11557,7171,8350
79,7841,8466,11557,8350
80,7841,8349,11557,8466
81,8349,11557,8467,11265
82,7076,8467,11557,11265
83,7251,7841,11557,8350
84,7251,7841,8349,11557
85,7251,11557,8349,11265
86,5713,7076,11557,11265
87,5713,11557,7251,11265
88,5713,7251,11557,8350
89,254,255,11556,742
90,717,11556,742,4034
91,255,717,11556,742
92,717,3173,11556,4034
93,255,11556,717,3173
94,254,11556,3060,11182
95,254,255,3060,11556
96,742,4034,11556,11182
97,255,3173,3060,11556
98,3060,11556,4034,11182
99,6403,6494,11555,8891
100,6403,11555,6495,8891
101,6498,7778,11555,11109
102,6495,11555,6498,7778
103,6495,11555,7778,11428
104,7776,11555,8930,11428
105,5754,7776,11555,8930
106,5754,11555,6494,10913
107,4258,5754,11555,6494
108,6494,11555,8891,10913
109,6495,8891,11555,10913
110,4258,6494,11555,6403
111,4258,6498,11555,11109
112,5754,8930,11555,10913
113,8930,11555,10913,11428
114,6495,10913,11555,11428
115,4191,11554,7711,10800
116,4191,11554,6098,7711
117,5400,7711,11554,10800
118,5400,6098,11554,7711
119,7,11554,8,10800
120,7,8,11554,1553
121,8,11554,4191,10800
122,1567,4191,11554,6098
123,1567,11554,5400,6098
124,7,6944,11554,10800
125,7,11554,6944,1553
126,8,1567,11554,1553
127,5400,11554,6944,10800
128,1553,6944,5400,11554
129,1553,1567,11554,5400
130,7498,11553,8142,10727
131,6652,11553,8142,9181
132,6647,8142,11553,9181
133,4525,6647,11553,9181
134,4525,11553,6652,9181
135,7498,7696,11553,10727
136,6647,7498,7696,11553
137,6652,8142,11553,10727
138,4525,11553,6647,7696
139,4525,6652,11553,7696
140,6652,11553,7696,10727
141,23,11552,1991,3832
142,23,3311,11552,3832
143,21,1995,11552,3842
144,21,11552,3341,3842
145,22,11552,23,3311
146,22,1991,23,11552
147,3810,11552,3832,10647
148,1991,3832,11552,10647
149,3311,3810,11552,3832
150,1991,11552,1995,10647
151,22,1995,1991,11552
152,21,11552,1995,22
153,21,3341,11552,22
154,1995,11552,3842,10647
155,3810,3842,11552,10647
156,3341,11552,3810,3842
157,3311,3341,11552,3810
158,22,3341,11552,3311
159,4884,8939,11551,9780
160,4884,11551,9770,9780
161,6475,11551,9345,11115
162,8954,9345,11551,11115
163,4262,8954,11551,11115
164,4262,11551,8939,9780
165,4262,9770,11551,9780
166,4884,11551,6410,9770
167,6475,11551,8377,9345
168,8377,11551,8954,9345
169,4884,6481,11551,8939
170,4884,6410,11551,6481
171,4262,11551,10568,11115
172,6475,10568,11551,11115
173,4262,8939,11551,8954
174,4262,11551,9770,10568
175,6410,9770,11551,10568
176,6481,8377,11551,8939
177,6410,11551,6481,8377
178,6410,6475,11551,8377
179,6410,11551,6475,10568
