1,-119.48,198.68
2,-28.122,137.68
3,0.24025,105.09
4,16.817,86.804
5,31.241,73.322
6,45.489,58.865
7,57.032,39.158
8,59.358,14.91
9,49.84,-5.4187
10,35.415,-15.564
11,23.124,-17.814
12,14.686,-16.54
13,9.2948,-14.269
14,5.8887,-11.993
15,3.7124,-10.013
16,2.2963,-8.3733
17,1.3578,-7.0371
18,0.72546,-5.9518
19,0.29388,-5.0679
20,-3.42E-03,-4.3437
21,-0.20926,-3.7464
22,-0.3518,-3.2501
23,-0.44997,-2.8347
24,-0.51666,-2.4847
25,-0.56086,-2.1878
26,-0.58887,-1.9343
27,-0.60521,-1.7166
28,-0.61311,-1.5286
29,-0.61494,-1.3654
30,-0.61245,-1.223
31,-0.60692,-1.0981
32,-0.5993,-0.98804
33,-0.59033,-0.89067
34,-0.58054,-0.80412
35,-0.57035,-0.72682
36,-0.56008,-0.65749
37,-0.54996,-0.59498
38,-0.54019,-0.53835
39,-0.53091,-0.48674
40,-0.52224,-0.43942
41,-0.51425,-0.39571
42,-0.50703,-0.355
43,-0.50061,-0.31669
44,-0.495,-0.28024
45,-0.49019,-0.24505
46,-0.4861,-0.21054
47,-0.48259,-0.17607
48,-0.47937,-0.14094
49,-0.47596,-0.1044
50,-0.47158,-6.57E-02
51,-0.46502,-2.40E-02
52,-0.45445,2.09E-02
53,-0.43742,6.89E-02
54,-0.41103,0.11835
55,-0.37277,0.16556
56,-0.32208,0.20499
57,-0.26193,0.23053
58,-0.19896,0.23841
59,-0.141,0.22935
60,-9.37E-02,0.2081
61,-5.90E-02,0.18078
62,-3.57E-02,0.15242
63,-2.13E-02,0.1261
64,-1.31E-02,0.10316
65,-9.08E-03,8.39E-02
66,-7.57E-03,6.80E-02
67,-7.54E-03,5.50E-02
68,-8.31E-03,4.45E-02
69,-9.46E-03,3.58E-02
70,-1.07E-02,2.87E-02
71,-1.20E-02,2.27E-02
72,-1.31E-02,1.76E-02
73,-1.41E-02,1.31E-02
74,-1.49E-02,9.19E-03
75,-1.57E-02,5.55E-03
76,-1.63E-02,2.10E-03
77,-1.69E-02,-1.25E-03
78,-1.75E-02,-4.61E-03
79,-1.81E-02,-8.05E-03
80,-1.89E-02,-1.16E-02
81,-1.99E-02,-1.55E-02
82,-2.12E-02,-1.95E-02
83,-2.29E-02,-2.39E-02
84,-2.53E-02,-2.87E-02
85,-2.84E-02,-3.37E-02
86,-3.26E-02,-3.91E-02
87,-3.80E-02,-4.47E-02
88,-4.50E-02,-5.04E-02
89,-5.41E-02,-5.59E-02
90,-6.55E-02,-6.06E-02
91,-7.96E-02,-6.40E-02
92,-9.68E-02,-6.49E-02
93,-0.11686,-6.19E-02
94,-0.13919,-5.34E-02
95,-0.1621,-3.73E-02
96,-0.18264,-1.23E-02
97,-0.19661,2.17E-02
98,-0.19933,6.23E-02
99,-0.18739,0.10427
100,-0.1607,0.14039
101,-0.12335,0.16429
102,-8.23E-02,0.17294
103,-4.46E-02,0.16759
104,-1.49E-02,0.15251
105,5.50E-03,0.13268
106,1.74E-02,0.11211
107,2.28E-02,9.33E-02
108,2.37E-02,7.73E-02
109,2.20E-02,6.43E-02
110,1.88E-02,5.40E-02
111,1.49E-02,4.60E-02
112,1.09E-02,3.99E-02
113,6.88E-03,3.50E-02
114,3.10E-03,3.13E-02
115,-4.67E-04,2.82E-02
116,-3.83E-03,2.57E-02
117,-7.04E-03,2.36E-02
118,-1.02E-02,2.17E-02
119,-1.32E-02,2.01E-02
120,-1.63E-02,1.85E-02
121,-1.95E-02,1.71E-02
122,-2.29E-02,1.58E-02
123,-2.64E-02,1.46E-02
124,-3.02E-02,1.34E-02
125,-3.43E-02,1.24E-02
126,-3.88E-02,1.14E-02
127,-4.37E-02,1.07E-02
128,-4.91E-02,1.00E-02
129,-5.51E-02,9.64E-03
130,-6.16E-02,9.52E-03
131,-6.88E-02,9.72E-03
132,-7.68E-02,1.03E-02
133,-8.56E-02,1.14E-02
134,-9.52E-02,1.31E-02
135,-0.10583,1.55E-02
136,-0.11749,1.87E-02
137,-0.13028,2.30E-02
138,-0.14429,2.84E-02
139,-0.15962,3.52E-02
140,-0.17635,4.38E-02
141,-0.19458,5.43E-02
142,-0.21438,6.72E-02
143,-0.23583,8.28E-02
144,-0.25898,0.1018
145,-0.28384,0.12468
146,-0.31039,0.15219
147,-0.33853,0.18517
148,-0.36808,0.2246
149,-0.39873,0.27166
150,-0.42997,0.3277
151,-0.46107,0.39432
152,-0.49093,0.47333
153,-0.51801,0.56682
154,-0.54015,0.67713
155,-0.55438,0.80679
156,-0.55666,0.95847
157,-0.54153,1.1348
158,-0.50179,1.338
159,-0.42806,1.5694
160,-0.30836,1.8286
161,-0.12788,2.1125
162,0.13097,2.4133
163,0.48786,2.7163
164,0.96263,2.9976
165,1.5717,3.2214
166,2.3222,3.3384
167,3.204,3.2875
168,4.1807,3.0012
169,5.182,2.4185
170,6.104,1.5026
171,6.8187,0.26105
172,7.1979,-1.2403
173,7.1439,-2.8781
174,6.6179,-4.4909
175,5.654,-5.9126
176,4.3515,-7.0091
177,2.8498,-7.7035
178,1.2949,-7.983
179,-0.18825,-7.888
180,-1.5115,-7.4919
181,-2.6269,-6.8797
182,-3.5196,-6.1319
183,-4.1986,-5.3151
184,-4.6862,-4.4796
185,-5.0104,-3.6599
186,-5.1996,-2.8773
187,-5.28,-2.1438
188,-5.2736,-1.4644
189,-5.1985,-0.83997
190,-5.0689,-0.26866
191,-4.8955,0.25247
192,-4.6862,0.72678
193,-4.4466,1.1573
194,-4.1807,1.5465
195,-3.8911,1.8959
196,-3.5799,2.2058
197,-3.249,2.4757
198,-2.9006,2.7038
199,-2.5379,2.8875
200,-2.165,3.0238
201,-1.7881,3.1099
202,-1.415,3.1439
203,-1.0549,3.1256
204,-0.71818,3.0577
205,-0.4147,2.9458
206,-0.15286,2.7991
207,6.19E-02,2.6289
208,0.22797,2.4478
209,0.34766,2.2678
210,0.42658,2.099
211,0.47239,1.9486
212,0.4935,1.8207
213,0.49787,1.7168
214,0.49234,1.6361
215,0.48235,1.577
216,0.47201,1.537
217,0.46427,1.5137
218,0.4612,1.5045
219,0.46426,1.5072
220,0.47446,1.52
221,0.49256,1.5412
222,0.51911,1.5692
223,0.55456,1.6029
224,0.59932,1.6411
225,0.65377,1.6827
226,0.71827,1.7269
227,0.79323,1.7727
228,0.87906,1.8192
229,0.97622,1.8656
230,1.0852,1.911
231,1.2066,1.9545
232,1.3409,1.9951
233,1.4889,2.0316
234,1.6512,2.063
235,1.8285,2.0878
236,2.0217,2.1046
237,2.2315,2.1116
238,2.4589,2.1069
239,2.7046,2.0883
240,2.9694,2.0532
241,3.2541,1.9986
242,3.5594,1.9212
243,3.8858,1.817
244,4.2334,1.6816
245,4.6023,1.5098
246,4.9919,1.2957
247,5.401,1.0328
248,5.8276,0.7133
249,6.2685,0.32884
250,6.7192,-0.13008
251,7.1731,-0.67386
252,7.6215,-1.3137
253,8.0527,-2.0616
254,8.4512,-2.9296
255,8.7973,-3.9294
256,9.0662,-5.0715
257,9.2269,-6.3639
258,9.2422,-7.8099
259,9.0681,-9.4064
260,8.6543,-11.14
261,7.9456,-12.985
262,6.885,-14.899
263,5.4182,-16.818
264,3.5001,-18.658
265,1.1033,-20.312
266,-1.7724,-21.655
267,-5.0911,-22.55
268,-8.7741,-22.862
269,-12.699,-22.472
270,-16.703,-21.296
271,-20.597,-19.294
272,-24.18,-16.483
273,-27.26,-12.938
274,-29.671,-8.7824
275,-31.288,-4.1814
276,-32.035,0.67784
277,-31.89,5.6006
278,-30.875,10.4
279,-29.055,14.907
