1,1,195,149,126,40,196,150,146
2,1,126,149,195,41,86,85,62
3,1,151,194,195,40,190,193,196
4,1,195,194,151,41,62,63,64
5,1,126,125,2,40,146,145,39
6,1,2,125,126,41,42,87,86
7,1,2,152,151,40,39,189,190
8,1,151,152,2,41,64,65,42
9,2,125,124,3,39,145,144,38
10,2,3,124,125,42,43,88,87
11,2,3,153,152,39,38,188,189
12,2,152,153,3,42,65,66,43
13,3,124,123,4,38,144,143,37
14,3,4,123,124,43,44,89,88
15,3,4,154,153,38,37,187,188
16,3,153,154,4,43,66,67,44
17,4,123,122,5,37,143,142,36
18,4,5,122,123,44,45,90,89
19,4,5,155,154,37,36,186,187
20,4,154,155,5,44,67,68,45
21,5,122,121,6,36,142,141,35
22,5,6,121,122,45,46,91,90
23,5,6,156,155,36,35,185,186
24,5,155,156,6,45,68,69,46
25,6,121,120,7,35,141,140,34
26,6,7,120,121,46,47,92,91
27,6,7,157,156,35,34,184,185
28,6,156,157,7,46,69,70,47
29,7,120,119,8,34,140,139,33
30,7,8,119,120,47,48,93,92
31,7,8,158,157,34,33,183,184
32,7,157,158,8,47,70,71,48
33,8,119,118,9,33,139,138,32
34,8,9,118,119,48,49,94,93
35,8,9,159,158,33,32,182,183
36,8,158,159,9,48,71,72,49
37,9,118,117,10,32,138,137,31
38,9,10,117,118,49,50,95,94
39,9,10,160,159,32,31,181,182
40,9,159,160,10,49,72,73,50
41,10,117,116,11,31,137,136,30
42,10,11,116,117,50,51,96,95
43,10,11,161,160,31,30,180,181
44,10,160,161,11,50,73,74,51
45,11,116,115,12,30,136,135,29
46,11,12,115,116,51,52,97,96
47,11,12,162,161,30,29,179,180
48,11,161,162,12,51,74,75,52
49,12,115,114,13,29,135,134,28
50,12,13,114,115,52,53,98,97
51,12,13,163,162,29,28,178,179
52,12,162,163,13,52,75,76,53
53,13,114,113,14,28,134,133,27
54,13,14,113,114,53,54,99,98
55,13,14,164,163,28,27,177,178
56,13,163,164,14,53,76,77,54
57,14,113,112,15,27,133,132,26
58,14,15,112,113,54,55,100,99
59,14,15,165,164,27,26,176,177
60,14,164,165,15,54,77,78,55
61,15,112,111,16,26,132,131,25
62,15,16,111,112,55,56,101,100
63,15,16,166,165,26,25,175,176
64,15,165,166,16,55,78,79,56
65,16,111,110,17,25,131,130,24
66,16,17,110,111,56,57,102,101
67,16,17,167,166,25,24,174,175
68,16,166,167,17,56,79,80,57
69,17,110,109,18,24,130,129,23
70,17,18,109,110,57,58,103,102
71,17,18,168,167,24,23,173,174
72,17,167,168,18,57,80,81,58
73,18,109,108,19,23,129,128,22
74,18,19,108,109,58,59,104,103
75,18,19,169,168,23,22,172,173
76,18,168,169,19,58,81,82,59
77,19,108,107,20,22,128,127,21
78,19,20,107,108,59,60,105,104
79,19,20,170,169,22,21,171,172
80,19,169,170,20,59,82,83,60
81,20,107,148,197,21,127,147,198
82,20,197,148,107,60,61,106,105
83,20,197,191,170,21,198,192,171
84,20,170,191,197,60,83,84,61
